"sq","x","x_ma","x_residual"
"1",5,NA,NA
"2",11,NA,NA
"3",16,NA,NA
"4",23,NA,NA
"5",36,NA,NA
"6",58,NA,NA
"7",29,NA,NA
"8",20,NA,NA
"9",10,NA,NA
"10",8,NA,NA
"11",3,NA,NA
"12",0,NA,NA
"13",0,NA,NA
"14",2,NA,NA
"15",11,NA,NA
"16",27,NA,NA
"17",47,NA,NA
"18",63,NA,NA
"19",60,32.7,27.3
"20",39,34.76,4.24
"21",28,37.46,-9.46
"22",26,39.76,-13.76
"23",22,41.11,-19.11
"24",11,41.22,-30.22
"25",21,40.19,-19.19
"26",40,39.84,0.16
"27",78,39.43,38.57
"28",122,39.46,82.54
"29",103,39.84,63.16
"30",73,40.84,32.16
"31",47,42.46,4.54
"32",35,44.65,-9.65
"33",11,46.85,-35.85
"34",5,47.84,-42.84
"35",16,48.4,-32.4
"36",34,47.96,-13.96
"37",70,46.59,23.41
"38",81,45.22,35.78
"39",111,44.45,66.55
"40",101,44.56,56.44
"41",73,45.15,27.85
"42",40,46.01,-6.01
"43",20,47.42,-27.42
"44",16,49.17,-33.17
"45",5,49.74,-44.74
"46",11,48.85,-37.85
"47",22,46.54,-24.54
"48",40,44.32,-4.32
"49",60,42.66,17.34
"50",80.9,42.41,38.49
"51",83.4,43.35,40.05
"52",47.7,45.92,1.78
"53",47.8,48.51,-0.71
"54",30.7,50.28,-19.58
"55",12.2,51.16,-38.96
"56",9.6,50.21,-40.61
"57",10.2,48.85,-38.65
"58",32.4,46.04,-13.64
"59",47.6,43.84,3.76
"60",54,44.37,9.63
"61",62.9,47.46,15.44
"62",85.9,50.32,35.58
"63",61.2,52.18,9.02
"64",45.1,53.89,-8.79
"65",36.4,54.63,-18.23
"66",20.9,54.65,-33.75
"67",11.4,53.85,-42.45
"68",37.8,52.88,-15.08
"69",69.8,52.93,16.87
"70",106.1,54.24,51.86
"71",100.8,56.49,44.31
"72",81.6,58.39,23.21
"73",66.5,59.99,6.51
"74",34.8,61.46,-26.66
"75",30.6,62.82,-32.22
"76",7,63.82,-56.82
"77",19.8,64.05,-44.25
"78",92.5,63.34,29.16
"79",154.4,62.31,92.09
"80",125.9,60.78,65.12
"81",84.8,58.57,26.23
"82",68.1,57.1,11
"83",38.5,56.28,-17.78
"84",22.8,56.21,-33.41
"85",10.2,56.86,-46.66
"86",24.1,57.72,-33.62
"87",82.9,57.98,24.92
"88",132,57.24,74.76
"89",130.9,55.13,75.77
"90",118.1,52.68,65.42
"91",89.9,50.69,39.21
"92",66.6,48.96,17.64
"93",60,48.02,11.98
"94",46.9,47.23,-0.33
"95",41,47.18,-6.18
"96",21.3,46.97,-25.67
"97",16,44.85,-28.85
"98",6.4,41.63,-35.23
"99",4.1,39.46,-35.36
"100",6.8,38.28,-31.48
"101",14.5,37.26,-22.76
"102",34,36.86,-2.86
"103",45,36.67,8.33
"104",43.1,36.57,6.53
"105",47.5,36.03,11.47
"106",42.2,33.84,8.36
"107",28.1,30.5,-2.4
"108",10.1,27.41,-17.31
"109",8.1,25.2,-17.1
"110",2.5,24.11,-21.61
"111",0,24.04,-24.04
"112",1.4,24.23,-22.83
"113",5,24.88,-19.88
"114",12.2,25.06,-12.86
"115",13.9,25.23,-11.33
"116",35.4,25.03,10.37
"117",45.8,25.21,20.59
"118",41.1,26.64,14.46
"119",30.1,29.74,0.36
"120",23.9,33.09,-9.19
"121",15.6,34.96,-19.36
"122",6.6,36.06,-29.46
"123",4,36.64,-32.64
"124",1.8,36.35,-34.55
"125",8.5,35.86,-27.36
"126",16.6,35.39,-18.79
"127",36.3,35.52,0.78
"128",49.6,36.39,13.21
"129",64.2,37.98,26.22
"130",67,40.64,26.36
"131",70.9,43.98,26.92
"132",47.8,46.44,1.36
"133",27.5,47.91,-20.41
"134",8.5,49.28,-40.78
"135",13.2,49.79,-36.59
"136",56.9,49.6,7.3
"137",121.5,49.05,72.45
"138",138.3,48.42,89.88
"139",103.2,47.89,55.31
"140",85.7,48.08,37.62
"141",64.6,49.38,15.22
"142",36.7,51.81,-15.11
"143",24.2,54.35,-30.15
"144",10.7,56.21,-45.51
"145",15,57.35,-42.35
"146",40.1,57.56,-17.46
"147",61.5,57.49,4.01
"148",98.5,56.58,41.92
"149",124.7,55.21,69.49
"150",96.3,53.49,42.81
"151",66.6,53.22,13.38
"152",64.5,54.47,10.03
"153",54.1,58,-3.9
"154",39,60.65,-21.65
"155",20.6,61.86,-41.26
"156",6.7,60.36,-53.66
"157",4.3,57.83,-53.53
"158",22.7,55.5,-32.8
"159",54.8,53.49,1.31
"160",93.8,52.08,41.72
"161",95.8,51.18,44.62
"162",77.2,50.69,26.51
"163",59.1,51.27,7.83
"164",44,52.34,-8.34
"165",47,52.86,-5.86
"166",30.5,52.92,-22.42
"167",16.3,51.98,-35.68
"168",7.3,50.02,-42.72
"169",37.6,48.1,-10.5
"170",74,46.66,27.34
"171",139,45.1,93.9
"172",111.2,43.81,67.39
"173",101.6,42.94,58.66
"174",66.2,43.35,22.85
"175",44.7,45.14,-0.44
"176",17,47.32,-30.32
"177",11.3,48.82,-37.52
"178",12.4,49.07,-36.67
"179",3.4,47.66,-44.26
"180",6,45.78,-39.78
"181",32.3,44.42,-12.12
"182",54.3,43.15,11.15
"183",59.7,42.21,17.49
"184",63.7,41.02,22.68
"185",63.5,40.33,23.17
"186",52.2,40.55,11.65
"187",25.4,41.48,-16.08
"188",13.1,42.18,-29.08
"189",6.8,41.64,-34.84
"190",6.3,39.56,-33.26
"191",7.1,37.86,-30.76
"192",35.6,36.3,-0.7
"193",73,35.02,37.98
"194",85.1,33.96,51.14
"195",78,33.6,44.4
"196",64,33.33,30.67
"197",41.8,33.26,8.54
"198",26.2,34.45,-8.25
"199",26.7,35.83,-9.13
"200",12.1,37.76,-25.66
"201",9.5,38.47,-28.97
"202",2.7,38.58,-35.88
"203",5,37.87,-32.87
"204",24.4,36.86,-12.46
"205",42,35.84,6.16
"206",63.5,35.31,28.19
"207",53.8,35.4,18.4
"208",62,36.42,25.58
"209",48.5,37.97,10.53
"210",43.9,39.65,4.25
"211",18.6,40.79,-22.19
"212",5.7,40.57,-34.87
"213",3.6,39.23,-35.63
"214",1.4,37.7,-36.3
"215",9.6,36.27,-26.67
"216",47.4,35.29,12.11
"217",57.1,34.82,22.28
"218",103.9,35.07,68.83
"219",80.6,36.9,43.7
"220",63.6,39.74,23.86
"221",37.6,42.62,-5.02
"222",26.1,44.89,-18.79
"223",14.2,46.06,-31.86
"224",5.8,46.21,-40.41
"225",16.7,45.32,-28.62
"226",44.3,44.31,-0.01
"227",63.9,42.89,21.01
"228",69,42.48,26.52
"229",77.8,43.79,34.01
"230",64.9,47.39,17.51
"231",35.7,50.92,-15.22
"232",21.2,54.46,-33.26
"233",11.1,56.69,-45.59
"234",5.7,58.31,-52.61
"235",8.7,57.88,-49.18
"236",36.1,56.71,-20.61
"237",79.7,54.02,25.68
"238",114.4,52.87,61.53
"239",109.6,54.98,54.62
"240",88.8,59.11,29.69
"241",67.8,63.39,4.41
"242",47.5,67.31,-19.81
"243",30.6,70.19,-39.59
"244",16.3,71.19,-54.89
"245",9.6,71.01,-61.41
"246",33.2,70.04,-36.84
"247",92.6,68.45,24.15
"248",151.6,66.75,84.85
"249",136.3,66.27,70.03
"250",134.7,67.84,66.86
"251",83.9,70.13,13.77
"252",69.4,72.68,-3.28
"253",31.5,75.35,-43.85
"254",13.9,76.91,-63.01
"255",4.4,77.8,-73.4
"256",38,76.67,-38.67
"257",141.7,74.51,67.19
"258",190.2,71.97,118.23
"259",184.8,69.91,114.89
"260",159,68.82,90.18
"261",112.3,70.04,42.26
"262",53.9,73.41,-19.51
"263",37.5,77.15,-39.65
"264",27.9,80.69,-52.79
"265",10.2,82.92,-72.72
"266",15.1,82.22,-67.12
"267",47,79.36,-32.36
"268",93.8,76.16,17.64
"269",105.9,72.89,33.01
"270",105.5,71.41,34.09
"271",104.5,72.24,32.26
"272",66.6,NA,NA
"273",68.9,NA,NA
"274",38,NA,NA
"275",34.5,NA,NA
"276",15.5,NA,NA
"277",12.6,NA,NA
"278",27.5,NA,NA
"279",92.5,NA,NA
"280",155.4,NA,NA
"281",154.7,NA,NA
"282",140.5,NA,NA
"283",115.9,NA,NA
"284",66.6,NA,NA
"285",45.9,NA,NA
"286",17.9,NA,NA
"287",13.4,NA,NA
"288",29.2,NA,NA
"289",100.2,NA,NA
